id,tool_name,source_path,domain,subdomain,description,deps_pypi,imports_unknown,tags,content_hash
MISC.MISC.026_44_multiprocessing,sm0l_44_multiprocessing,44_multiprocessing.py,MISC,MISC,!/usr/bin/env python3,,,multiprocessing time,7d57fc330bfa
MISC.MISC.027_45_data_structures,sm0l_45_data_structures,45_data_structures.py,MISC,MISC,!/usr/bin/env python3,,,timeit,71ffd66b507e
MISC.MISC.028_46_numba_jit,sm0l_46_numba_jit,46_numba_jit.py,MISC,MISC,!/usr/bin/env python3,numba,,numba timeit,3e9f8c3a7f7c
MISC.MISC.029_47_memory_prealloc,sm0l_47_memory_prealloc,47_memory_prealloc.py,MISC,MISC,!/usr/bin/env python3,,,timeit,ccd3e7bfccb0
MISC.MISC.030_48_python_version,sm0l_48_python_version,48_python_version.py,MISC,MISC,!/usr/bin/env python3,,,,75e813e7ef92
SYS.MON.001_49_watchdog_basics,sm0l_49_watchdog_basics,49_watchdog_basics.py,SYS,MON,!/usr/bin/env python3,watchdog,,filesystem time watchdog,d1321bec1993
SYS.MON.002_50_watchdog_automation,sm0l_50_watchdog_automation,50_watchdog_automation.py,SYS,MON,!/usr/bin/env python3,watchdog,shutil,filesystem shutil time watchdog,e223dd52e697
MISC.MISC.031_51_toolz_pipe,sm0l_51_toolz_pipe,51_toolz_pipe.py,MISC,MISC,!/usr/bin/env python3,toolz,,toolz,7116e0de6378
MISC.MISC.032_52_coloredlogs,sm0l_52_coloredlogs,52_coloredlogs.py,MISC,MISC,!/usr/bin/env python3,,coloredlogs,coloredlogs logging,6d627b3062ba
MISC.MISC.033_53_contextlib_suppress,sm0l_53_contextlib_suppress,53_contextlib_suppress.py,MISC,MISC,!/usr/bin/env python3,,,contextlib tempfile,484bc3e6957b
MISC.MISC.034_54_dataclass_initvar,sm0l_54_dataclass_initvar,54_dataclass_initvar.py,MISC,MISC,!/usr/bin/env python3,,,,cfc966800c30
MISC.MISC.035_55_asyncio_event,sm0l_55_asyncio_event,55_asyncio_event.py,MISC,MISC,!/usr/bin/env python3,,,asyncio,556fcfc9c56e
MISC.MISC.036_56_importlib_version,sm0l_56_importlib_version,56_importlib_version.py,MISC,MISC,!/usr/bin/env python3,,,importlib,246a2fc962e8
MISC.MISC.037_57_dataclass_replace,sm0l_57_dataclass_replace,57_dataclass_replace.py,MISC,MISC,!/usr/bin/env python3,,,,66341224a526
MISC.MISC.038_58_sched_scheduler,sm0l_58_sched_scheduler,58_sched_scheduler.py,MISC,MISC,!/usr/bin/env python3,,,sched scheduler time,282609996fb9
MISC.MISC.039_59_secrets_token,sm0l_59_secrets_token,59_secrets_token.py,MISC,MISC,!/usr/bin/env python3,,,secrets string,8a680a81cf4f
MISC.MISC.040_60_cached_property,sm0l_60_cached_property,60_cached_property.py,MISC,MISC,!/usr/bin/env python3,,,functools,f0acbd766c90
AUTO.WORKFLOW.001_airflow_dag_demo,sm0l_airflow_dag_demo,airflow_dag_demo.py,AUTO,WORKFLOW,airflow minimal DAG definition. Place this file in your Airflow dags folder. Running it directly will only construct the DAG if airflow is installed.,,airflow,airflow datetime,8d5ab3f79125
AUTO.SCHED.002_apscheduler_demo,sm0l_apscheduler_demo,apscheduler_demo.py,AUTO,SCHED,APScheduler interval job (3 ticks),APScheduler,,apscheduler scheduler time,c081868ebf4b
DATA.DF.002_arrow_demo,sm0l_arrow_demo,arrow_demo.py,DATA,DF,Run arrow_demo.py,arrow,__future__,__future__ arrow,a50a314ab09b
MISC.MISC.041_asyncer_demo,sm0l_asyncer_demo,asyncer_demo.py,MISC,MISC,asyncer asyncify demo,,asyncer,asyncer asyncio,6255a7ec5fcf
MISC.MISC.042_beartype_example,sm0l_beartype_example,beartype_example.py,MISC,MISC,!/usr/bin/env python3,,beartype,beartype,95f36cea781d
MISC.MISC.043_benedict_demo,sm0l_benedict_demo,benedict_demo.py,MISC,MISC,Run benedict_demo.py,,__future__ benedict,__future__ benedict,87ed657eaf5f
